OCORRENCIA_ANO,OCORRENCIA_MES,ATENDIMENTO_BAIRRO_NOME,OCORRENCIAS,OCORRENCIAS_LAG1,OCORRENCIAS_LAG2,OCORRENCIAS_LAG3,OCORRENCIAS_LAG4
2009,4,BOA VISTA,42,46.0,40.0,44.0,0.0
2009,4,BOM RETIRO,5,5.0,4.0,7.0,0.0
2009,4,BOQUEIRAO,121,89.0,88.0,93.0,0.0
2009,4,BUTIATUVINHA,9,4.0,8.0,5.0,0.0
2009,4,CABRAL,30,35.0,29.0,33.0,0.0
2009,4,CACHOEIRA,9,7.0,10.0,6.0,0.0
2009,4,CAJURU,130,150.0,105.0,109.0,0.0
2009,4,CAMPINA DO SIQUEIRA,8,9.0,13.0,17.0,0.0
2009,4,CAMPO COMPRIDO,23,36.0,30.0,40.0,0.0
2009,4,CAMPO DE SANTANA,15,27.0,14.0,13.0,0.0
2009,4,CAPAO DA IMBUIA,21,15.0,28.0,43.0,0.0
2009,4,CAPAO RASO,55,44.0,32.0,45.0,0.0
2009,4,CASCATINHA,1,1.0,1.0,3.0,0.0
2009,4,CAXIMBA,7,7.0,1.0,2.0,0.0
2009,4,CENTRO,201,190.0,232.0,259.0,0.0
2009,4,CENTRO CIVICO,19,32.0,26.0,26.0,0.0
2009,4,CIDADE INDUSTRIAL DE CURITIBA,163,178.0,138.0,213.0,0.0
2009,4,CRISTO REI,1,9.0,5.0,4.0,0.0
2009,4,FANNY,6,10.0,6.0,4.0,0.0
2009,4,FAZENDINHA,50,45.0,44.0,58.0,0.0
2009,4,GANCHINHO,10,15.0,14.0,3.0,0.0
2009,4,GUABIROTUBA,8,8.0,7.0,5.0,0.0
2009,4,GUAIRA,15,14.0,15.0,29.0,0.0
2009,4,HAUER,15,18.0,24.0,27.0,0.0
2009,4,HUGO LANGE,4,1.0,5.0,0.0,0.0
2009,4,JARDIM BOTANICO,23,30.0,31.0,20.0,0.0
2009,4,JARDIM DAS AMERICAS,12,5.0,5.0,11.0,0.0
2009,4,JARDIM SOCIAL,1,6.0,2.0,4.0,0.0
2009,4,JUVEVE,10,14.0,2.0,2.0,0.0
2009,4,LAMENHA PEQUENA,2,0.0,0.0,0.0,0.0
2009,4,LINDOIA,3,11.0,6.0,8.0,0.0
2009,4,MERCES,21,14.0,16.0,9.0,0.0
2009,4,MOSSUNGUE,6,5.0,9.0,8.0,0.0
2009,4,NOVO MUNDO,54,60.0,46.0,71.0,0.0
2009,4,ORLEANS,5,5.0,14.0,7.0,0.0
2009,4,PAROLIN,25,12.0,9.0,4.0,0.0
2009,4,PILARZINHO,23,24.0,26.0,31.0,0.0
2009,4,PINHEIRINHO,50,56.0,48.0,61.0,0.0
2009,4,PORTAO,37,64.0,48.0,48.0,0.0
2009,4,PRADO VELHO,7,7.0,13.0,15.0,0.0
2009,4,REBOUCAS,25,24.0,24.0,26.0,0.0
2009,4,SANTA CANDIDA,42,28.0,42.0,51.0,0.0
2009,4,SANTA FELICIDADE,30,54.0,60.0,66.0,0.0
2009,4,SANTA QUITERIA,11,12.0,7.0,14.0,0.0
2009,4,SANTO INACIO,35,40.0,30.0,32.0,0.0
2009,4,SAO BRAZ,11,14.0,9.0,18.0,0.0
2009,4,SAO FRANCISCO,47,34.0,27.0,24.0,0.0
2009,4,SAO JOAO,10,2.0,4.0,3.0,0.0
2009,4,SAO LOURENCO,8,4.0,9.0,4.0,0.0
2009,4,SEMINARIO,4,7.0,6.0,2.0,0.0
2009,4,SITIO CERCADO,110,133.0,158.0,170.0,0.0
2009,4,TABOAO,6,6.0,8.0,10.0,0.0
2009,4,TARUMA,3,3.0,2.0,4.0,0.0
2009,4,TATUQUARA,39,40.0,49.0,60.0,0.0
2009,4,TINGUI,7,8.0,11.0,4.0,0.0
2009,4,UBERABA,67,61.0,66.0,46.0,0.0
2009,4,UMBARA,19,14.0,9.0,15.0,0.0
2009,4,VILA IZABEL,3,6.0,3.0,1.0,0.0
2009,4,VISTA ALEGRE,14,10.0,3.0,2.0,0.0
2009,4,XAXIM,41,46.0,25.0,50.0,0.0
2009,5,ABRANCHES,13,9.0,3.0,11.0,14.0
2009,5,AGUA VERDE,35,33.0,33.0,23.0,29.0
2009,5,AHU,6,1.0,8.0,1.0,6.0
2009,5,ALTO BOQUEIRAO,51,43.0,59.0,45.0,46.0
2009,5,ALTO DA GLORIA,11,13.0,11.0,8.0,5.0
2009,5,ALTO DA RUA XV,7,8.0,8.0,8.0,10.0
2009,5,ATUBA,19,12.0,16.0,11.0,9.0
2009,5,AUGUSTA,4,4.0,5.0,10.0,10.0
2009,5,BACACHERI,20,31.0,41.0,24.0,24.0
2009,5,BAIRRO ALTO,26,35.0,40.0,35.0,46.0
2009,5,BARREIRINHA,25,18.0,25.0,25.0,20.0
2009,5,BATEL,6,7.0,11.0,10.0,4.0
2009,5,BIGORRILHO,13,12.0,13.0,10.0,13.0
2009,5,BOA VISTA,34,42.0,46.0,40.0,44.0
2009,5,BOM RETIRO,7,5.0,5.0,4.0,7.0
2009,5,BOQUEIRAO,106,121.0,89.0,88.0,93.0
2009,5,BUTIATUVINHA,7,9.0,4.0,8.0,5.0
2009,5,CABRAL,25,30.0,35.0,29.0,33.0
2009,5,CACHOEIRA,6,9.0,7.0,10.0,6.0
2009,5,CAJURU,115,130.0,150.0,105.0,109.0
2009,5,CAMPINA DO SIQUEIRA,4,8.0,9.0,13.0,17.0
2009,5,CAMPO COMPRIDO,29,23.0,36.0,30.0,40.0
2009,5,CAMPO DE SANTANA,27,15.0,27.0,14.0,13.0
2009,5,CAPAO DA IMBUIA,22,21.0,15.0,28.0,43.0
2009,5,CAPAO RASO,38,55.0,44.0,32.0,45.0
2009,5,CASCATINHA,1,1.0,1.0,1.0,3.0
2009,5,CAXIMBA,10,7.0,7.0,1.0,2.0
2009,5,CENTRO,237,201.0,190.0,232.0,259.0
2009,5,CENTRO CIVICO,17,19.0,32.0,26.0,26.0
2009,5,CIDADE INDUSTRIAL DE CURITIBA,165,163.0,178.0,138.0,213.0
2009,5,CRISTO REI,4,1.0,9.0,5.0,4.0
2009,5,FANNY,6,6.0,10.0,6.0,4.0
2009,5,FAZENDINHA,44,50.0,45.0,44.0,58.0
2009,5,GANCHINHO,18,10.0,15.0,14.0,3.0
2009,5,GUABIROTUBA,7,8.0,8.0,7.0,5.0
2009,5,GUAIRA,10,15.0,14.0,15.0,29.0
2009,5,HAUER,15,15.0,18.0,24.0,27.0
2009,5,HUGO LANGE,3,4.0,1.0,5.0,0.0
2009,5,JARDIM BOTANICO,16,23.0,30.0,31.0,20.0
2009,5,JARDIM DAS AMERICAS,12,12.0,5.0,5.0,11.0
2009,5,JARDIM SOCIAL,4,1.0,6.0,2.0,4.0
2009,5,JUVEVE,6,10.0,14.0,2.0,2.0
2009,5,LINDOIA,5,3.0,11.0,6.0,8.0
2009,5,MERCES,20,21.0,14.0,16.0,9.0
2009,5,MOSSUNGUE,4,6.0,5.0,9.0,8.0
2009,5,NOVO MUNDO,52,54.0,60.0,46.0,71.0
2009,5,ORLEANS,9,5.0,5.0,14.0,7.0
2009,5,PAROLIN,17,25.0,12.0,9.0,4.0
2009,5,PILARZINHO,16,23.0,24.0,26.0,31.0
2009,5,PINHEIRINHO,28,50.0,56.0,48.0,61.0
2009,5,PORTAO,55,37.0,64.0,48.0,48.0
2009,5,PRADO VELHO,9,7.0,7.0,13.0,15.0
2009,5,REBOUCAS,23,25.0,24.0,24.0,26.0
2009,5,SANTA CANDIDA,37,42.0,28.0,42.0,51.0
2009,5,SANTA FELICIDADE,33,30.0,54.0,60.0,66.0
2009,5,SANTA QUITERIA,10,11.0,12.0,7.0,14.0
2009,5,SANTO INACIO,29,35.0,40.0,30.0,32.0
2009,5,SAO BRAZ,18,11.0,14.0,9.0,18.0
2009,5,SAO FRANCISCO,31,47.0,34.0,27.0,24.0
2009,5,SAO JOAO,8,10.0,2.0,4.0,3.0
2009,5,SAO LOURENCO,14,8.0,4.0,9.0,4.0
2009,5,SAO MIGUEL,1,6.0,3.0,1.0,0.0
2009,5,SEMINARIO,3,4.0,7.0,6.0,2.0
2009,5,SITIO CERCADO,103,110.0,133.0,158.0,170.0
2009,5,TABOAO,8,6.0,6.0,8.0,10.0
2009,5,TARUMA,11,3.0,3.0,2.0,4.0
2009,5,TATUQUARA,62,39.0,40.0,49.0,60.0
2009,5,TINGUI,5,7.0,8.0,11.0,4.0
2009,5,UBERABA,70,67.0,61.0,66.0,46.0
2009,5,UMBARA,9,19.0,14.0,9.0,15.0
2009,5,VILA IZABEL,8,3.0,6.0,3.0,1.0
2009,5,VISTA ALEGRE,11,14.0,10.0,3.0,2.0
2009,5,XAXIM,33,41.0,46.0,25.0,50.0
2009,6,ABRANCHES,12,13.0,9.0,3.0,11.0
2009,6,AGUA VERDE,28,35.0,33.0,33.0,23.0
2009,6,AHU,2,6.0,1.0,8.0,1.0
2009,6,ALTO BOQUEIRAO,30,51.0,43.0,59.0,45.0
2009,6,ALTO DA GLORIA,19,11.0,13.0,11.0,8.0
2009,6,ALTO DA RUA XV,10,7.0,8.0,8.0,8.0
2009,6,ATUBA,13,19.0,12.0,16.0,11.0
2009,6,AUGUSTA,4,4.0,4.0,5.0,10.0
2009,6,BACACHERI,25,20.0,31.0,41.0,24.0
2009,6,BAIRRO ALTO,26,26.0,35.0,40.0,35.0
2009,6,BARREIRINHA,21,25.0,18.0,25.0,25.0
2009,6,BATEL,4,6.0,7.0,11.0,10.0
2009,6,BIGORRILHO,9,13.0,12.0,13.0,10.0
2009,6,BOA VISTA,51,34.0,42.0,46.0,40.0
2009,6,BOM RETIRO,4,7.0,5.0,5.0,4.0
2009,6,BOQUEIRAO,78,106.0,121.0,89.0,88.0
2009,6,BUTIATUVINHA,10,7.0,9.0,4.0,8.0
2009,6,CABRAL,23,25.0,30.0,35.0,29.0
2009,6,CACHOEIRA,7,6.0,9.0,7.0,10.0
2009,6,CAJURU,99,115.0,130.0,150.0,105.0
2009,6,CAMPINA DO SIQUEIRA,20,4.0,8.0,9.0,13.0
2009,6,CAMPO COMPRIDO,47,29.0,23.0,36.0,30.0
2009,6,CAMPO DE SANTANA,21,27.0,15.0,27.0,14.0
2009,6,CAPAO DA IMBUIA,19,22.0,21.0,15.0,28.0
2009,6,CAPAO RASO,35,38.0,55.0,44.0,32.0
2009,6,CASCATINHA,6,1.0,1.0,1.0,1.0
2009,6,CAXIMBA,10,10.0,7.0,7.0,1.0
2009,6,CENTRO,205,237.0,201.0,190.0,232.0
2009,6,CENTRO CIVICO,23,17.0,19.0,32.0,26.0
2009,6,CIDADE INDUSTRIAL DE CURITIBA,121,165.0,163.0,178.0,138.0
2009,6,CRISTO REI,4,4.0,1.0,9.0,5.0
2009,6,FANNY,6,6.0,6.0,10.0,6.0
2009,6,FAZENDINHA,31,44.0,50.0,45.0,44.0
2009,6,GANCHINHO,7,18.0,10.0,15.0,14.0
2009,6,GUABIROTUBA,5,7.0,8.0,8.0,7.0
2009,6,GUAIRA,7,10.0,15.0,14.0,15.0
2009,6,HAUER,30,15.0,15.0,18.0,24.0
2009,6,JARDIM BOTANICO,17,16.0,23.0,30.0,31.0
2009,6,JARDIM DAS AMERICAS,8,12.0,12.0,5.0,5.0
2009,6,JARDIM SOCIAL,1,4.0,1.0,6.0,2.0
2009,6,JUVEVE,11,6.0,10.0,14.0,2.0
2009,6,LAMENHA PEQUENA,1,2.0,0.0,0.0,0.0
2009,6,LINDOIA,1,5.0,3.0,11.0,6.0
2009,6,MERCES,11,20.0,21.0,14.0,16.0
2009,6,MOSSUNGUE,3,4.0,6.0,5.0,9.0
2009,6,NOVO MUNDO,55,52.0,54.0,60.0,46.0
2009,6,ORLEANS,8,9.0,5.0,5.0,14.0
2009,6,PAROLIN,13,17.0,25.0,12.0,9.0
2009,6,PILARZINHO,25,16.0,23.0,24.0,26.0
2009,6,PINHEIRINHO,34,28.0,50.0,56.0,48.0
2009,6,PORTAO,47,55.0,37.0,64.0,48.0
2009,6,PRADO VELHO,8,9.0,7.0,7.0,13.0
2009,6,REBOUCAS,28,23.0,25.0,24.0,24.0
