LOGRADOURO_NOME,LATITUDE,LONGITUDE
CAMPO LARGO DA PIEDADE,-25.3905452,-49.2954219
AUGUSTO DE MARI,-25.4744977,-49.2905409
JOÃO KOLESKI,-25.4392812,-49.3513049
ÁLVARO MOLETA,-25.3888369,-49.2968072
EBANO PEREIRA,-25.4274846,-49.2757487
JOÃO RIBEIRO LEMOS,-25.4886505,-49.2889578
DOS DOMINICANOS,-25.3940892,-49.2502684
DESEMBARGADOR ERNANI ALMEIDA DE ABREU,-25.559551,-49.3385078
DOUTOR ARIELLY SOARES DE SILVA,,
PASTOR NIVALDO RAMOS,-25.4776746,-49.3367463
WALTER RODOLFO BEHLING,-25.4745587,-49.2427826
ANTONIO AUGUSTO DE BRITO,-25.5562351,-49.2792387
ROBERTO FRITSCH,-25.5486221,-49.2687439
ANGELINA BRAGA CORTEZZI,-25.3810553,-49.3303358
CASEMIRO MITCZUK,-25.4591181,-49.3509018
MARTE,-25.5348738,-49.2786457
SEBASTIÃO BORDEAUX DE OLIVEIRA,-25.3761572,-49.2596812
CORONEL AMÉRICO WALGER,-25.53593,-49.2396574
ROSA LEONARDI,-25.4737535,-49.3309652
PROFESSOR WENCESLAU MUNIZ,-25.5005169,-49.3147597
DOUTOR REYNALDO MACHADO,-25.4514065,-49.2563949
CID JOSÉ DOS SANTOS,-25.4857611,-49.1945805
PALMAS,-25.5379801,-49.2758728
CORONEL JOAQUIM ANTONIO DE AZEVEDO,-25.5399278,-49.2484655
IRMÃS NAKADAIRA,-25.4659935,-49.3419799
TRAJANO REIS,-25.4237253,-49.2742174
CAPITÃO LEONIDAS MARQUES,-25.4774657,-49.2170987
PADRE GERMANO MAYER,-25.419979,-49.2482148
