mes,ano,descBairro,qtde_boletins,lag1,lag2,lag3,lag4
2,2016,GANCHINHO,25,30.0,0.0,0.0,0.0
2,2016,GUABIROTUBA,49,43.0,0.0,0.0,0.0
2,2016,GUAIRA,66,58.0,0.0,0.0,0.0
2,2016,HAUER,141,157.0,0.0,0.0,0.0
2,2016,HUGO LANGE,31,26.0,0.0,0.0,0.0
2,2016,JARDIM BOTANICO,141,152.0,0.0,0.0,0.0
2,2016,JARDIM DAS AMERICAS,81,75.0,0.0,0.0,0.0
2,2016,JARDIM SOCIAL,31,38.0,0.0,0.0,0.0
2,2016,JUVEVE,69,50.0,0.0,0.0,0.0
2,2016,LAMENHA PEQUENA,1,0.0,0.0,0.0,0.0
2,2016,LINDOIA,24,26.0,0.0,0.0,0.0
2,2016,MERCES,78,107.0,0.0,0.0,0.0
2,2016,MOSSUNGUE,52,37.0,0.0,0.0,0.0
2,2016,NOVO MUNDO,170,142.0,0.0,0.0,0.0
2,2016,ORLEANS,25,19.0,0.0,0.0,0.0
2,2016,OSTERNACK,15,15.0,0.0,0.0,0.0
2,2016,PAROLIN,81,76.0,0.0,0.0,0.0
