,OCORRENCIA_DATA_SEM_HORARIO,OCORRENCIAS_ATENDIDAS
4070,2020-02-23,104
4071,2020-02-24,126
4072,2020-02-25,93
4073,2020-02-26,81
4074,2020-02-27,92
4075,2020-02-28,108
4076,2020-02-29,78
4077,2020-03-01,109
4078,2020-03-02,85
4079,2020-03-03,83
4080,2020-03-04,115
4081,2020-03-05,168
4082,2020-03-06,179
4083,2020-03-07,184
4084,2020-03-08,175
4085,2020-03-09,181
4086,2020-03-10,168
4087,2020-03-11,189
4088,2020-03-12,151
4089,2020-03-13,198
4090,2020-03-14,173
4091,2020-03-15,177
4092,2020-03-16,192
4093,2020-03-17,205
4094,2020-03-18,164
4095,2020-03-19,162
4096,2020-03-20,123
4097,2020-03-21,110
4098,2020-03-22,105
4099,2020-03-23,102
4100,2020-03-24,86
4101,2020-03-25,88
4102,2020-03-26,96
4103,2020-03-27,124
4104,2020-03-28,119
4105,2020-03-29,99
4106,2020-03-30,131
4107,2020-03-31,122
4108,2020-04-01,129
4109,2020-04-02,130
4110,2020-04-03,129
4111,2020-04-04,144
4112,2020-04-05,117
4113,2020-04-06,121
4114,2020-04-07,110
4115,2020-04-08,120
4116,2020-04-09,111
4117,2020-04-10,121
4118,2020-04-11,102
4119,2020-04-12,126
4120,2020-04-13,113
4121,2020-04-14,114
4122,2020-04-15,118
4123,2020-04-16,126
4124,2020-04-17,131
4125,2020-04-18,137
4126,2020-04-19,109
4127,2020-04-20,136
4128,2020-04-21,107
4129,2020-04-22,139
4130,2020-04-23,133
4131,2020-04-24,158
4132,2020-04-25,165
4133,2020-04-26,171
4134,2020-04-27,144
4135,2020-04-28,182
4136,2020-04-29,174
4137,2020-04-30,192
4138,2020-05-01,160
4139,2020-05-02,204
4140,2020-05-03,178
4141,2020-05-04,164
4142,2020-05-05,165
4143,2020-05-06,120
4144,2020-05-07,151
4145,2020-05-08,166
4146,2020-05-09,193
4147,2020-05-10,156
4148,2020-05-11,192
4149,2020-05-12,163
4150,2020-05-13,164
4151,2020-05-14,155
4152,2020-05-15,186
