dia,boletins
2017-09-09 00:00:00,165
2017-09-10 00:00:00,138
2017-09-11 00:00:00,248
2017-09-12 00:00:00,237
2017-09-13 00:00:00,247
2017-09-14 00:00:00,239
2017-09-15 00:00:00,260
2017-09-16 00:00:00,178
2017-09-17 00:00:00,122
2017-09-18 00:00:00,216
2017-09-19 00:00:00,210
2017-09-20 00:00:00,257
2017-09-21 00:00:00,228
2017-09-22 00:00:00,237
2017-09-23 00:00:00,205
2017-09-24 00:00:00,129
2017-09-25 00:00:00,260
2017-09-26 00:00:00,273
2017-09-27 00:00:00,230
2017-09-28 00:00:00,201
2017-09-29 00:00:00,250
2017-09-30 00:00:00,158
2017-10-01 00:00:00,165
2017-10-02 00:00:00,264
2017-10-03 00:00:00,264
2017-10-04 00:00:00,285
2017-10-05 00:00:00,219
2017-10-06 00:00:00,241
2017-10-07 00:00:00,160
2017-10-08 00:00:00,133
2017-10-09 00:00:00,271
2017-10-10 00:00:00,272
2017-10-11 00:00:00,230
2017-10-12 00:00:00,150
2017-10-13 00:00:00,220
2017-10-14 00:00:00,148
2017-10-15 00:00:00,143
2017-10-16 00:00:00,244
2017-10-17 00:00:00,230
2017-10-18 00:00:00,229
2017-10-19 00:00:00,215
2017-10-20 00:00:00,267
2017-10-21 00:00:00,184
2017-10-22 00:00:00,123
2017-10-23 00:00:00,248
2017-10-24 00:00:00,220
2017-10-25 00:00:00,246
2017-10-26 00:00:00,212
2017-10-27 00:00:00,228
2017-10-28 00:00:00,178
2017-10-29 00:00:00,136
2017-10-30 00:00:00,206
2017-10-31 00:00:00,247
2017-11-01 00:00:00,264
2017-11-02 00:00:00,155
2017-11-03 00:00:00,209
2017-11-04 00:00:00,165
2017-11-05 00:00:00,130
2017-11-06 00:00:00,255
2017-11-07 00:00:00,224
2017-11-08 00:00:00,220
2017-11-09 00:00:00,229
2017-11-10 00:00:00,204
2017-11-11 00:00:00,164
2017-11-12 00:00:00,149
2017-11-13 00:00:00,203
2017-11-14 00:00:00,255
2017-11-15 00:00:00,154
2017-11-16 00:00:00,233
2017-11-17 00:00:00,210
2017-11-18 00:00:00,190
2017-11-19 00:00:00,120
2017-11-20 00:00:00,260
2017-11-21 00:00:00,233
2017-11-22 00:00:00,223
2017-11-23 00:00:00,212
2017-11-24 00:00:00,217
2017-11-25 00:00:00,212
2017-11-26 00:00:00,141
2017-11-27 00:00:00,203
2017-11-28 00:00:00,229
2017-11-29 00:00:00,208
2017-11-30 00:00:00,207
2017-12-01 00:00:00,209
2017-12-02 00:00:00,143
2017-12-03 00:00:00,105
2017-12-04 00:00:00,192
2017-12-05 00:00:00,195
2017-12-06 00:00:00,182
2017-12-07 00:00:00,214
2017-12-08 00:00:00,233
2017-12-09 00:00:00,161
2017-12-10 00:00:00,146
2017-12-11 00:00:00,189
2017-12-12 00:00:00,226
2017-12-13 00:00:00,199
2017-12-14 00:00:00,205
2017-12-15 00:00:00,242
2017-12-16 00:00:00,149
2017-12-17 00:00:00,125
2017-12-18 00:00:00,206
2017-12-19 00:00:00,226
2017-12-20 00:00:00,232
2017-12-21 00:00:00,216
2017-12-22 00:00:00,167
2017-12-23 00:00:00,132
2017-12-24 00:00:00,105
2017-12-25 00:00:00,84
2017-12-26 00:00:00,146
2017-12-27 00:00:00,165
2017-12-28 00:00:00,172
2017-12-29 00:00:00,154
2017-12-30 00:00:00,133
2017-12-31 00:00:00,92
2018-01-01 00:00:00,134
2018-01-02 00:00:00,165
2018-01-03 00:00:00,192
2018-01-04 00:00:00,209
2018-01-05 00:00:00,193
2018-01-06 00:00:00,148
2018-01-07 00:00:00,122
2018-01-08 00:00:00,195
2018-01-09 00:00:00,213
2018-01-10 00:00:00,212
2018-01-11 00:00:00,183
2018-01-12 00:00:00,189
2018-01-13 00:00:00,141
2018-01-14 00:00:00,133
2018-01-15 00:00:00,227
2018-01-16 00:00:00,221
2018-01-17 00:00:00,207
2018-01-18 00:00:00,229
2018-01-19 00:00:00,233
2018-01-20 00:00:00,183
2018-01-21 00:00:00,136
2018-01-22 00:00:00,203
2018-01-23 00:00:00,201
2018-01-24 00:00:00,224
2018-01-25 00:00:00,215
2018-01-26 00:00:00,201
2018-01-27 00:00:00,149
2018-01-28 00:00:00,160
2018-01-29 00:00:00,217
2018-01-30 00:00:00,199
2018-01-31 00:00:00,255
2018-02-01 00:00:00,263
2018-02-02 00:00:00,239
2018-02-03 00:00:00,148
2018-02-04 00:00:00,107
2018-02-05 00:00:00,191
2018-02-06 00:00:00,240
2018-02-07 00:00:00,227
2018-02-08 00:00:00,201
2018-02-09 00:00:00,196
2018-02-10 00:00:00,177
2018-02-11 00:00:00,96
2018-02-12 00:00:00,145
2018-02-13 00:00:00,127
2018-02-14 00:00:00,222
2018-02-15 00:00:00,216
2018-02-16 00:00:00,239
2018-02-17 00:00:00,169
2018-02-18 00:00:00,137
2018-02-19 00:00:00,229
2018-02-20 00:00:00,224
2018-02-21 00:00:00,231
2018-02-22 00:00:00,205
2018-02-23 00:00:00,229
2018-02-24 00:00:00,154
2018-02-25 00:00:00,151
2018-02-26 00:00:00,213
2018-02-27 00:00:00,194
2018-02-28 00:00:00,237
2018-03-01 00:00:00,215
2018-03-02 00:00:00,237
2018-03-03 00:00:00,186
2018-03-04 00:00:00,136
2018-03-05 00:00:00,247
2018-03-06 00:00:00,234
2018-03-07 00:00:00,223
2018-03-08 00:00:00,211
2018-03-09 00:00:00,234
2018-03-10 00:00:00,148
2018-03-11 00:00:00,94
2018-03-12 00:00:00,171
2018-03-13 00:00:00,218
2018-03-14 00:00:00,226
2018-03-15 00:00:00,241
2018-03-16 00:00:00,259
2018-03-17 00:00:00,169
2018-03-18 00:00:00,130
2018-03-19 00:00:00,209
2018-03-20 00:00:00,226
2018-03-21 00:00:00,242
2018-03-22 00:00:00,220
2018-03-23 00:00:00,224
2018-03-24 00:00:00,162
2018-03-25 00:00:00,115
2018-03-26 00:00:00,224
2018-03-27 00:00:00,211
2018-03-28 00:00:00,230
2018-03-29 00:00:00,199
2018-03-30 00:00:00,127
2018-03-31 00:00:00,147
2018-04-01 00:00:00,143
2018-04-02 00:00:00,257
2018-04-03 00:00:00,236
2018-04-04 00:00:00,223
2018-04-05 00:00:00,219
2018-04-06 00:00:00,244
2018-04-07 00:00:00,166
2018-04-08 00:00:00,118
2018-04-09 00:00:00,225
2018-04-10 00:00:00,267
2018-04-11 00:00:00,227
2018-04-12 00:00:00,244
2018-04-13 00:00:00,247
2018-04-14 00:00:00,200
2018-04-15 00:00:00,134
2018-04-16 00:00:00,199
2018-04-17 00:00:00,246
2018-04-18 00:00:00,259
2018-04-19 00:00:00,206
2018-04-20 00:00:00,208
2018-04-21 00:00:00,179
2018-04-22 00:00:00,138
2018-04-23 00:00:00,220
2018-04-24 00:00:00,240
2018-04-25 00:00:00,231
2018-04-26 00:00:00,193
2018-04-27 00:00:00,219
2018-04-28 00:00:00,141
2018-04-29 00:00:00,123
2018-04-30 00:00:00,210
2018-05-01 00:00:00,143
2018-05-02 00:00:00,248
2018-05-03 00:00:00,208
2018-05-04 00:00:00,252
2018-05-05 00:00:00,164
2018-05-06 00:00:00,152
2018-05-07 00:00:00,239
2018-05-08 00:00:00,195
2018-05-09 00:00:00,235
2018-05-10 00:00:00,243
2018-05-11 00:00:00,201
2018-05-12 00:00:00,184
2018-05-13 00:00:00,120
2018-05-14 00:00:00,222
2018-05-15 00:00:00,216
2018-05-16 00:00:00,225
2018-05-17 00:00:00,209
2018-05-18 00:00:00,220
2018-05-19 00:00:00,152
2018-05-20 00:00:00,125
2018-05-21 00:00:00,196
2018-05-22 00:00:00,198
2018-05-23 00:00:00,207
2018-05-24 00:00:00,215
2018-05-25 00:00:00,229
2018-05-26 00:00:00,120
2018-05-27 00:00:00,95
2018-05-28 00:00:00,201
2018-05-29 00:00:00,204
2018-05-30 00:00:00,225
2018-05-31 00:00:00,140
2018-06-01 00:00:00,245
2018-06-02 00:00:00,156
2018-06-03 00:00:00,115
2018-06-04 00:00:00,235
2018-06-05 00:00:00,207
2018-06-06 00:00:00,243
2018-06-07 00:00:00,215
2018-06-08 00:00:00,247
2018-06-09 00:00:00,155
2018-06-10 00:00:00,136
2018-06-11 00:00:00,203
2018-06-12 00:00:00,226
2018-06-13 00:00:00,226
2018-06-14 00:00:00,206
2018-06-15 00:00:00,236
2018-06-16 00:00:00,168
2018-06-17 00:00:00,132
2018-06-18 00:00:00,212
2018-06-19 00:00:00,212
2018-06-20 00:00:00,240
2018-06-21 00:00:00,230
2018-06-22 00:00:00,210
2018-06-23 00:00:00,166
2018-06-24 00:00:00,132
2018-06-25 00:00:00,233
2018-06-26 00:00:00,220
2018-06-27 00:00:00,168
2018-06-28 00:00:00,261
2018-06-29 00:00:00,219
2018-06-30 00:00:00,135
2018-07-01 00:00:00,134
2018-07-02 00:00:00,194
2018-07-03 00:00:00,188
2018-07-04 00:00:00,219
2018-07-05 00:00:00,230
2018-07-06 00:00:00,189
2018-07-07 00:00:00,160
2018-07-08 00:00:00,132
2018-07-09 00:00:00,223
2018-07-10 00:00:00,235
2018-07-11 00:00:00,212
2018-07-12 00:00:00,211
2018-07-13 00:00:00,242
2018-07-14 00:00:00,171
2018-07-15 00:00:00,142
2018-07-16 00:00:00,236
2018-07-17 00:00:00,247
2018-07-18 00:00:00,193
